	Distance1	Travel time1	Difference1	Maximum TT1	Fcost1	Stops1	Distance2	Travel time2	Difference2	Maximum TT2	Fcost2	Stops2	Gender	Choice
1	8	15.48387097	5.883870968	21.36774194	0.740740741	10	8.8	16.86486486	1.349189189	18.21405405	0.6875	9	0	1
2	20	52.17391304	19.82608696	72	1.5625	10	22	60	10.8	70.8	2.037037037	9	0	0
3	8	15.48387097	5.883870968	21.36774194	0.740740741	15	8.8	16.86486486	2.023783784	18.88864865	0.814814815	15	0	0
4	20	52.17391304	19.82608696	72	1.5625	20	22	60	7.2	67.2	1.71875	4	0	1
5	8	15.48387097	5.883870968	21.36774194	0.740740741	20	8.8	16.86486486	3.035675676	19.90054054	1	4	0	0
6	20	52.17391304	19.82608696	72	1.5625	15	22	60	4.8	64.8	2.5	15	0	1
7	8	20.86956522	8.973913043	29.84347826	0.909090909	10	8.8	24	1.92	25.92	0.6875	15	0	1
8	20	38.70967742	15	53.70967742	2.272727273	10	22	42.16216216	7.589189189	49.75135135	2.037037037	4	0	0
9	8	20.86956522	8.973913043	29.84347826	0.909090909	20	8.8	24	4.32	28.32	1	9	0	0
10	20	38.70967742	15	53.70967742	2.272727273	20	22	42.16216216	5.059459459	47.22162162	1.71875	15	0	0
11	15	23.07692308	8.769230769	31.84615385	1.704545455	20	16.5	21.27272727	9	30.27272727	1.527777778	4	0	0
12	20	38.70967742	9.677419355	48.38709677	2.272727273	15	22	42.16216216	3.372972973	45.53513514	2.5	9	0	0
13	15	23.07692308	8.769230769	31.84615385	1.704545455	10	16.5	21.27272727	10	31.27272727	1.875	9	0	0
14	20	30.76923077	13.23076923	44	1.851851852	10	22	28.36363636	12	40.36363636	2.037037037	15	0	1
15	15	23.07692308	8.769230769	31.84615385	1.704545455	15	16.5	21.27272727	11	32.27272727	1.2890625	15	0	0
16	20	30.76923077	13.23076923	44	1.851851852	15	22	28.36363636	8	36.36363636	2.5	4	0	0
17	15	29.03225806	12.48387097	41.51612903	1.171875	20	16.5	31.62162162	2.52972973	34.15135135	1.527777778	9	0	0
